,ERROR_MESSAGE
Insufficient Funds,38
Declined - Do Not Honour,17
"Blocked, first use - transaction from new cardholder, and card not properly unblocked",7
Your card has insufficient funds.,6
Not enough balance | 51 : Insufficient funds,6
Your card was declined.,4
Your card does not support this type of purchase.,3
Refused | SA : Inactive card,3
Restricted Card,2
Policy,2
